item_id,order_id,product_id,quantity,unit_price,discount_percent
OI000001,O000811,P0301,1,343.2,10
OI000002,O000280,P0500,2,735.03,20
OI000003,O000998,P0333,3,182.46,10
OI000004,O000458,P0341,5,816.31,20
OI000005,O000629,P0376,3,136.07,0
OI000006,O000802,P0436,5,42.06,10
OI000007,O000453,P0328,5,113.07,20
OI000008,O000289,P0170,1,245.62,10
OI000009,O000344,P0326,1,823.45,10
OI000010,O000915,P0006,3,217.59,0
OI000011,O000718,P0132,1,723.21,0
OI000012,O000791,P0225,4,969.41,20
OI000013,O000180,P0452,4,357.72,20
OI000014,O000208,P0425,4,790.84,5
OI000015,O000334,P0232,1,801.2,0
OI000016,O000604,P0011,3,268.52,0
OI000017,O000152,P0176,2,889.05,5
OI000018,O000154,P0281,1,344.57,20
OI000019,O000064,P0221,2,611.24,20
OI000020,O000322,P0028,1,337.78,5
OI000021,O000839,P0357,5,724.82,10
OI000022,O000577,P0153,2,104.96,20
OI000023,O000994,P0079,1,367.22,20
OI000024,O000180,P0151,5,485.53,0
OI000025,O000053,P0106,2,641.81,0
OI000026,O000970,P0433,1,315.27,20
OI000027,O000965,P0251,3,100.23,20
OI000028,O000379,P0190,4,375.71,20
OI000029,O000092,P0135,4,470.41,5
OI000030,O000551,P0289,1,159.62,0
OI000031,O000176,P0343,3,810.1,20
OI000032,O000466,P0284,1,842.39,20
OI000033,O000973,P0294,2,481.5,0
OI000034,O000809,P0463,1,507.08,5
OI000035,O000247,P0487,4,181.15,5
OI000036,O000434,P0414,2,134.92,20
OI000037,O000161,P0350,4,209.9,5
OI000038,O000529,P0164,1,96.16,20
OI000039,O000668,P0439,3,524.49,0
OI000040,O000860,P0058,4,158.15,0
OI000041,O000217,P0289,1,787.89,10
OI000042,O000842,P0136,4,658.24,20
OI000043,O000077,P0089,3,408.94,20
OI000044,O000080,P0203,3,693.61,0
OI000045,O000974,P0472,3,898.06,0
OI000046,O000692,P0419,3,317.84,20
OI000047,O000202,P0498,2,143.04,20
OI000048,O000658,P0138,4,608.93,0
OI000049,O000385,P0227,2,914.3,20
OI000050,O000993,P0389,5,868.52,0
OI000051,O000326,P0034,3,712.47,20
OI000052,O000278,P0400,5,880.54,0
OI000053,O000356,P0099,2,838.61,5
OI000054,O000068,P0234,1,918.85,5
OI000055,O000562,P0189,4,510.08,0
OI000056,O000063,P0124,3,493.9,20
OI000057,O000364,P0492,4,591.01,10
OI000058,O000706,P0084,3,751.47,0
OI000059,O000584,P0015,4,59.15,5
OI000060,O000454,P0332,2,680.92,10
OI000061,O000839,P0263,1,865.98,0
OI000062,O000971,P0467,2,650.9,0
OI000063,O000459,P0130,5,807.03,10
OI000064,O000564,P0217,4,853.07,20
OI000065,O000517,P0112,4,309.12,20
OI000066,O000210,P0004,5,999.44,10
OI000067,O000579,P0153,1,486.92,10
OI000068,O000567,P0328,3,862.88,10
OI000069,O000612,P0097,2,522.12,5
OI000070,O000117,P0413,5,410.06,10
OI000071,O000287,P0370,1,658.85,10
OI000072,O000532,P0465,4,410.55,0
OI000073,O000389,P0176,2,689.45,20
OI000074,O000735,P0260,3,846.97,5
OI000075,O000602,P0050,4,136.66,10
OI000076,O000375,P0485,3,657.89,5
OI000077,O000728,P0115,3,426.27,10
OI000078,O000762,P0134,5,301.11,0
OI000079,O000964,P0028,5,584.51,0
OI000080,O000968,P0456,2,505.47,20
OI000081,O000612,P0212,1,872.14,5
OI000082,O000282,P0103,3,415.1,20
OI000083,O000294,P0162,2,781.15,20
OI000084,O000682,P0324,2,320.28,0
OI000085,O000010,P0232,3,217.29,5
OI000086,O000325,P0251,1,138.11,20
OI000087,O000880,P0207,4,965.67,20
OI000088,O000010,P0020,5,207.42,10
OI000089,O000029,P0457,3,759.28,5
OI000090,O000037,P0347,1,630.42,5
OI000091,O000464,P0356,3,318.97,0
OI000092,O000786,P0258,5,313.05,0
OI000093,O000094,P0153,3,461.37,10
OI000094,O000889,P0455,2,349.31,20
OI000095,O000736,P0385,2,173.23,20
OI000096,O000040,P0117,2,729.9,5
OI000097,O000433,P0376,1,593.8,5
OI000098,O000253,P0188,1,381.44,10
OI000099,O000100,P0305,1,665.35,0
OI000100,O000099,P0354,1,422.61,20
OI000101,O000254,P0281,3,479.65,5
OI000102,O000421,P0356,1,308.11,0
OI000103,O000553,P0319,5,703.72,20
OI000104,O000215,P0262,5,126.56,0
OI000105,O000218,P0255,2,612.91,10
OI000106,O000414,P0184,4,302.4,0
OI000107,O000225,P0467,2,691.32,20
OI000108,O000678,P0121,1,22.62,0
OI000109,O000227,P0428,5,672.33,5
OI000110,O000185,P0400,5,84.3,0
OI000111,O000525,P0330,2,462.18,10
OI000112,O000541,P0238,1,108.81,5
OI000113,O000081,P0437,3,366.61,10
OI000114,O000873,P0379,1,104.05,0
OI000115,O000020,P0437,2,666.72,5
OI000116,O000674,P0184,4,955.54,10
OI000117,O000191,P0191,3,191.04,20
OI000118,O000820,P0493,4,279.11,20
OI000119,O000980,P0410,4,652.36,5
OI000120,O000232,P0068,1,981.75,5
OI000121,O000213,P0214,5,487.85,20
OI000122,O000372,P0313,4,781.37,0
OI000123,O000268,P0248,4,121.81,20
OI000124,O000903,P0024,1,269.0,10
OI000125,O000026,P0361,5,769.85,5
OI000126,O000693,P0266,5,691.36,0
OI000127,O000887,P0339,2,487.11,20
OI000128,O000305,P0430,5,893.14,0
OI000129,O000024,P0330,2,510.51,20
OI000130,O000617,P0446,2,84.12,20
OI000131,O000657,P0124,3,970.44,0
OI000132,O000601,P0115,5,646.88,20
OI000133,O000482,P0041,4,449.75,20
OI000134,O000181,P0439,4,452.6,0
OI000135,O000540,P0382,1,111.62,20
OI000136,O000074,P0286,5,10.17,0
OI000137,O000624,P0456,5,566.71,20
OI000138,O000699,P0187,1,818.42,20
OI000139,O000680,P0287,5,603.95,10
OI000140,O000927,P0059,1,761.73,5
OI000141,O000005,P0175,3,831.59,10
OI000142,O000766,P0360,1,55.32,5
OI000143,O000317,P0072,4,115.89,5
OI000144,O000385,P0062,4,223.43,5
OI000145,O000693,P0056,4,56.04,0
OI000146,O000923,P0235,5,956.63,5
OI000147,O000340,P0003,5,738.85,20
OI000148,O000990,P0474,5,783.27,5
OI000149,O000356,P0375,2,112.52,10
OI000150,O000865,P0452,4,424.48,5
OI000151,O000561,P0204,3,970.79,20
OI000152,O000274,P0071,4,606.5,10
OI000153,O000643,P0365,5,636.26,5
OI000154,O000430,P0320,3,689.75,5
OI000155,O000365,P0258,5,697.37,10
OI000156,O000237,P0390,3,566.66,20
OI000157,O000586,P0450,4,810.22,0
OI000158,O000052,P0196,2,62.53,0
OI000159,O000410,P0137,2,983.7,10
OI000160,O000300,P0430,1,693.69,10
OI000161,O000418,P0386,5,41.98,20
OI000162,O000210,P0316,5,866.19,20
OI000163,O000487,P0262,3,696.01,0
OI000164,O000782,P0199,4,957.13,10
OI000165,O000111,P0007,3,211.06,20
